,Gross domestic product and domestic demand (annualized percentage changes) - Seasonally adjusted GDP - Monthly vari%
3-Feb,1.17550012
3-Mar,0.246522083
Abr03,0.817351233
3-May,0.224870491
3-Jun,1.289133937
3-Jul,-0.559255417
Ago03,0.922125226
3-Sep,0.278306938
3-Oct,0.715776243
3-Nov,-4.68752398
Dic03,0.72175809
Ene04,3.088819914
4-Feb,1.085058161
4-Mar,1.162732554
Abr04,0.594664456
4-May,-0.068260061
4-Jun,-0.167280421
4-Jul,0.510566861
Ago04,0.639556097
4-Sep,1.122857702
4-Oct,-0.158638408
4-Nov,-0.391397183
Dic04,1.466539007
Ene05,0.427196423
5-Feb,2.008027444
5-Mar,-2.721197518
Abr05,2.546937789
5-May,1.02529004
5-Jun,-0.138601353
5-Jul,0.771582251
Ago05,-0.308677913
5-Sep,0.986764586
5-Oct,0.692125029
5-Nov,2.25441574
Dic05,-1.319421219
Ene06,1.926484739
6-Feb,0.38211542
6-Mar,1.866056429
Abr06,-0.867590462
6-May,0.157424551
6-Jun,0.995592295
6-Jul,-0.37110485
Ago06,1.869339946
6-Sep,-0.693278326
6-Oct,1.07683208
6-Nov,0.10092697
Dic06,1.001722785
Ene07,1.682139845
7-Feb,0.168671438
7-Mar,1.562364596
Abr07,-0.462679947
7-May,3.132720445
7-Jun,-0.962335437
7-Jul,0.678472364
Ago07,0.453812498
7-Sep,0.287478358
7-Oct,1.161105175
7-Nov,1.472815198
Dic07,0.828947848
Ene08,0.86206755
8-Feb,1.835982869
8-Mar,-0.012333858
Abr08,1.715011216
8-May,-0.987733111
8-Jun,1.762226941
8-Jul,0.050629428
Ago08,-0.331626454
8-Sep,0.963754446
8-Oct,-0.283955955
8-Nov,0.04029312
Dic08,-0.997323447
Ene09,1.013584129
9-Feb,-0.548844092
9-Mar,-1.155564046
Abr09,0.760495943
9-May,1.248296157
9-Jun,-3.420672115
9-Jul,1.490885873
Ago09,1.835126279
9-Sep,0.282989477
9-Oct,1.024873119
9-Nov,0.951906748
Dic09,0.578285583
Ene10,0.377431503
10-Feb,1.112797234
10-Mar,1.276850124
Abr10,0.971601773
10-May,0.865211512
10-Jun,1.606498116
10-Jul,-0.996818928
Ago10,0.337326199
10-Sep,1.489915948
10-Oct,0.719327968
10-Nov,0.219613791
Dic10,-0.960253617
Ene11,2.222999565
11-Feb,0.021171639
11-Mar,0.810091885
Abr11,1.188581389
11-May,-1.165276769
11-Jun,-0.548416519
11-Jul,2.004637297
Ago11,0.018601554
11-Sep,0.289336486
11-Oct,-0.004469698
11-Nov,0.860830542
Dic11,2.663986913
Ene12,-1.084494139
12-Feb,-0.149774134
12-Mar,1.92978585
Abr12,-1.491137932
12-May,2.639256527
12-Jun,0.263081645
12-Jul,0.397765917
Ago12,0.516068423
12-Sep,0.612135945
12-Oct,-0.310036954
12-Nov,-0.027180073
Dic12,0.160560382
Ene13,1.796601561
13-Feb,0.355682852
13-Mar,0.394431696
Abr13,-0.08464073
13-May,0.480566521
13-Jun,1.743716753
13-Jul,-0.268803686
Ago13,0.800900245
13-Sep,-0.574916266
13-Oct,1.098589148
13-Nov,1.366998973
Dic13,-0.867801543
Ene14,-0.282802081
14-Feb,1.177495395
14-Mar,-0.733476624
Abr14,0.348077605
14-May,-0.60073138
14-Jun,-0.99790386
14-Jul,1.206923235
Ago14,0.274453828
14-Sep,0.357979322
14-Oct,0.922191581
14-Nov,-0.578586268
Dic14,-0.622853954
Ene15,1.117177277
15-Feb,0.533494808
15-Mar,0.741671589
Abr15,1.753782963
15-May,-2.892483797
15-Jun,1.470244426
15-Jul,0.6611999
Ago15,-0.77591981
15-Sep,0.795572877
15-Oct,1.37716292
15-Nov,-0.424987653
Dic15,1.649480811
Ene16,-1.06824512
16-Feb,1.160781356
16-Mar,1.307273545
Abr16,-1.465396262
16-May,-0.43043826
16-Jun,0.885503232
16-Jul,1.28164933
Ago16,0.196140407
16-Sep,-0.15861972
16-Oct,-0.705208787
16-Nov,0.887545265
Dic16,1.276233027
Ene17,0.083191629
17-Feb,-0.281989008
17-Mar,-1.554141308
Abr17,0.827046192
17-May,0.70195288
17-Jun,1.456165394
17-Jul,-0.575010561
Ago17,0.811073581
17-Sep,0.563861103
17-Oct,-0.950598976
17-Nov,-0.351552097
Dic17,1.117711912
Ene18,1.15498602
18-Feb,-0.331463442
18-Mar,1.046660242
Abr18,1.90984759
18-May,0.493324292
18-Jun,-2.376783298
18-Jul,-0.858411567
Ago18,0.891412683
18-Sep,0.906314458
18-Oct,0.296377906
18-Nov,0.56102014
Dic18,0.506997361
Ene19,-1.254939949
19-Feb,0.094010316
19-Mar,1.637760939
Abr19,0.343301105
19-May,0.040381193
19-Jun,-0.261687665
19-Jul,0.085981307
Ago19,0.876927945
19-Sep,-0.778002925
19-Oct,0.648315614
19-Nov,0.474878636
Dic19,-1.087027172
Ene20,1.236866008
20-Feb,-0.348231275
20-Mar,-18.55430923
Abr20,-25.67287718
20-May,11.12323342
20-Jun,20.21700502
20-Jul,9.29433483
Ago20,2.599837998
20-Sep,2.468321796
20-Oct,4.037750161
20-Nov,1.113290247
Dic20,2.333661111
Ene21,-0.159299404
21-Feb,-2.205560321
21-Mar,-0.098691314
Abr21,-0.419475235
21-May,2.751921583
21-Jun,-0.11179946
21-Jul,0.773618193
Ago21,0.888612586
21-Sep,0.481985026
21-Oct,-0.476400885
21-Nov,-0.179194749
Dic21,0.407075671
Ene22,1.056900725
22-Feb,-0.294434208
22-Mar,-0.838798411
Abr22,0.020192938
22-May,0.696533641
22-Jun,1.034639999
22-Jul,-0.352419991
Ago22,0.068698111
22-Sep,0.768175501
22-Oct,-0.166163011
22-Nov,-0.386257031
Dic22,-0.066877825
Ene23,-1.302970425
23-Feb,0.080210363
23-Mar,0.444001087
Abr23,0.148104775
23-May,-1.330365796
23-Jun,1.356781644
23-Jul,-0.764041149
Ago23,1.219424328
23-Sep,0.025180522
23-Oct,-0.419459031
23-Nov,1.206708766
Dic23,-0.911093131
Ene24,0.511464701
24-Feb,-0.295925594
24-Mar,0.96935631
Abr24,1.767430701
24-May,0.587538636
24-Jun,-3.269537607
24-Jul,2.738193299
Ago24,1.19284636
24-Sep,-0.711918558
24-Oct,-0.05217544
24-Nov,1.94782096
Dic24,-1.067936947
Ene25,0.331872405
