,Gross domestic product and domestic demand (2007=100 index) - GDP
Ene94,53.85942606
Feb-94,52.17266237
Mar-94,56.77539529
Abr94,56.30999479
May-94,59.75409706
Jun-94,59.26642443
Jul-94,58.09611343
Ago94,56.0954103
Sep-94,55.07360843
Oct-94,57.34287969
Nov-94,57.71717213
Dic94,60.85614294
Ene95,60.58069616
Feb-95,57.55493802
Mar-95,59.3363859
Abr95,60.13803738
May-95,66.91053608
Jun-95,63.31731215
Jul-95,63.7982234
Ago95,61.38192147
Sep-95,57.97935602
Oct-95,60.40999521
Nov-95,59.91920303
Dic95,62.63750988
Ene96,60.47041288
Feb-96,59.58590066
Mar-96,59.68346969
Abr96,62.07943896
May-96,67.77973471
Jun-96,65.00407432
Jul-96,66.3647911
Ago96,61.9419396
Sep-96,59.64583926
Oct-96,61.39809072
Nov-96,62.27736164
Dic96,68.27763969
Ene97,64.76940494
Feb-97,62.34458249
Mar-97,61.93565006
Abr97,69.6993234
May-97,72.05631525
Jun-97,69.14594848
Jul-97,68.67493298
Ago97,65.49401421
Sep-97,65.82135309
Oct-97,67.09636144
Nov-97,64.55709978
Dic97,71.78184626
Ene98,63.30187153
Feb-98,64.51223959
Mar-98,65.44708492
Abr98,67.6457483
May-98,68.34528345
Jun-98,68.50062685
Jul-98,68.87926123
Ago98,66.62441012
Sep-98,65.36971236
Oct-98,65.24479792
Nov-98,65.30800752
Dic98,71.05115227
Ene99,63.5363926
Feb-99,63.56925608
Mar-99,65.13365705
Abr99,66.6211413
May-99,70.98317551
Jun-99,70.78728768
Jul-99,68.98567335
Ago99,64.83729755
Sep-99,65.8539309
Oct-99,68.92211084
Nov-99,68.54971791
Dic99,74.41233326
Ene00,65.92331108
Feb-00,65.40934232
Mar-00,73.89482062
Abr00,68.28918654
May-00,76.21781647
Jun-00,74.16109684
Jul-00,73.31688542
Ago00,67.68665676
Sep-00,64.02472357
Oct-00,68.33853904
Nov-00,68.28512097
Dic00,68.52784396
Ene01,64.54229449
1-Feb,62.09281643
1-Mar,67.65266007
Abr01,71.03713769
1-May,76.46391544
1-Jun,71.82585396
1-Jul,74.04121589
Ago01,69.58528016
1-Sep,67.02427445
1-Oct,72.52106597
1-Nov,69.34894732
Dic01,73.09308208
Ene02,70.34588626
2-Feb,66.13699952
2-Mar,70.48220085
Abr02,77.15115314
2-May,80.81370372
2-Jun,75.91161881
2-Jul,76.51806991
Ago02,71.77728816
2-Sep,70.93129174
2-Oct,74.02448972
2-Nov,74.53208328
Dic02,76.37281118
Ene03,73.22236974
3-Feb,71.07943228
3-Mar,74.34272311
Abr03,80.6677115
3-May,83.22264584
3-Jun,80.85377447
3-Jul,79.20701714
Ago03,74.21201385
3-Sep,73.86783537
3-Oct,77.59891351
3-Nov,75.57253863
Dic03,78.00973241
Ene04,75.91326693
4-Feb,74.09743592
4-Mar,78.63546298
Abr04,84.09447213
4-May,86.51057023
4-Jun,83.28745901
4-Jul,82.10675132
Ago04,77.51462292
4-Sep,77.40259383
4-Oct,79.63245516
4-Nov,82.71956352
Dic04,85.65030207
Ene05,79.97916109
5-Feb,80.13445991
5-Mar,81.39641299
Abr05,87.07344703
5-May,92.1414551
5-Jun,88.455773
5-Jul,87.27660063
Ago05,82.98948311
5-Sep,82.08786653
5-Oct,84.80272393
5-Nov,90.49511762
Dic05,91.54592669
Ene06,85.65904249
6-Feb,84.62852209
6-Mar,91.22869284
Abr06,91.77800236
6-May,97.76190634
6-Jun,95.07289981
6-Jul,92.96160012
Ago06,91.55476273
6-Sep,88.7693296
6-Oct,92.18220667
6-Nov,94.78742123
Dic06,99.41835876
Ene07,89.95256199
7-Feb,88.66810221
7-Mar,96.72143463
Abr07,96.63641931
7-May,104.7466788
7-Jun,101.2545686
7-Jul,102.5451392
Ago07,100.1286684
7-Sep,100.2404207
7-Oct,103.1513308
7-Nov,104.0996969
Dic07,111.8549784
Ene08,98.51248792
8-Feb,100.6766341
8-Mar,104.0880232
Abr08,110.247082
8-May,112.0853294
8-Jun,112.1799389
8-Jul,112.3011164
Ago08,108.8899938
8-Sep,110.7407406
8-Oct,111.6552981
8-Nov,110.6670875
Dic08,117.4750877
Ene09,102.9578589
9-Feb,101.0337067
9-Mar,107.1527259
Abr09,108.8521313
9-May,114.2330236
9-Jun,108.9732712
9-Jul,110.739303
Ago09,109.8540913
9-Sep,111.0047164
9-Oct,113.0666521
9-Nov,113.616686
Dic09,122.3846703
Ene10,106.1492645
10-Feb,106.1818157
10-Mar,115.8714667
Abr10,117.5300892
10-May,122.8405414
10-Jun,122.9521247
10-Jul,121.7155834
Ago10,119.436562
10-Sep,122.1776479
10-Oct,123.724537
10-Nov,123.6545398
Dic10,131.945494
Ene11,116.3027142
11-Feb,114.7377665
11-Mar,124.7765625
Abr11,126.2574445
11-May,129.6482413
11-Jun,126.617366
11-Jul,129.0977194
Ago11,127.1770167
11-Sep,128.1701482
11-Oct,129.2383405
11-Nov,129.5185469
Dic11,143.3811062
Ene12,122.6430457
12-Feb,122.8319907
12-Mar,132.0846174
Abr12,130.2940484
12-May,138.6161649
12-Jun,136.1596507
12-Jul,138.4606832
Ago12,136.1582768
12-Sep,136.8158402
12-Oct,138.8230934
12-Nov,137.3696991
Dic12,148.2919351
Ene13,130.5599535
13-Feb,129.079383
13-Mar,136.7160995
Abr13,141.7868505
13-May,144.5251701
13-Jun,144.1315224
13-Jul,145.8151589
Ago13,143.6543797
13-Sep,143.4695073
13-Oct,147.442041
13-Nov,147.3735528
Dic13,158.7213045
Ene14,136.0797665
14-Feb,135.8015834
14-Mar,144.1148564
Abr14,145.93098
14-May,148.2685351
14-Jun,144.6760799
14-Jul,147.9290407
Ago14,145.5983284
14-Sep,147.3049782
14-Oct,150.7945585
14-Nov,147.6062573
Dic14,159.9828636
Ene15,138.2043873
15-Feb,137.4771271
15-Mar,148.3469291
Abr15,152.0570147
15-May,150.170909
15-Jun,150.5864701
15-Jul,153.258321
Ago15,149.4846906
15-Sep,152.0008946
15-Oct,155.7307429
15-Nov,153.4249396
Dic15,170.3926317
Ene16,143.0985689
16-Feb,146.3094706
16-Mar,153.6127097
Abr16,156.2639532
16-May,157.4897818
16-Jun,155.9754552
16-Jul,158.7459919
Ago16,158.1155408
16-Sep,158.8544447
16-Oct,159.1264832
16-Nov,158.8221525
Dic16,176.3204462
Ene17,150.2756044
17-Feb,147.4602647
17-Mar,155.3991385
Abr17,156.7505213
17-May,163.2504409
17-Jun,162.1671629
17-Jul,162.2859568
Ago17,162.63842
17-Sep,164.1815216
17-Oct,164.8718502
17-Nov,162.0518034
Dic17,178.8253105
Ene18,154.5960481
18-Feb,151.4677218
18-Mar,161.4359088
Abr18,169.4273856
18-May,174.2041321
18-Jun,165.5299203
18-Jul,166.518525
Ago18,166.4119452
18-Sep,168.1038058
18-Oct,171.6005518
18-Nov,170.2430169
Dic18,187.2337862
Ene19,157.180928
19-Feb,154.6023767
19-Mar,166.8827556
Abr19,169.4032425
19-May,175.3899773
19-Jun,170.183939
19-Jul,173.0566187
Ago19,172.5942088
19-Sep,172.3665266
19-Oct,176.2659889
19-Nov,174.2082273
Dic19,189.602346
Ene20,162.4332857
20-Feb,161.760051
20-Mar,137.5736848
Abr20,102.9339673
20-May,118.0674547
20-Jun,139.466866
20-Jul,154.0962561
Ago20,156.899239
20-Sep,162.3920824
20-Oct,170.6749363
20-Nov,170.6960165
Dic20,191.7268392
Ene21,160.7825457
21-Feb,155.5388874
21-Mar,164.8557014
Abr21,164.5287547
21-May,175.3847626
21-Jun,172.0544697
21-Jul,174.4977648
Ago21,175.6175433
21-Sep,178.5621772
21-Oct,178.716319
21-Nov,176.9883674
Dic21,195.5334309
Ene22,165.6740282
22-Feb,163.034306
22-Mar,171.2585505
Abr22,171.1740742
22-May,179.835601
22-Jun,178.4539798
22-Jul,177.9682197
Ago22,179.1335585
22-Sep,182.4114066
22-Oct,183.3726864
22-Nov,180.890374
Dic22,198.0821097
Ene23,164.5877784
23-Feb,162.1700424
23-Mar,172.5352501
Abr23,172.2536355
23-May,177.6108578
23-Jun,177.1510002
23-Jul,176.1193091
Ago23,179.0926683
23-Sep,180.6113373
23-Oct,182.0100918
23-Nov,182.1106003
Dic23,196.4410485
Ene24,167.0885953
24-Feb,167.2437747
24-Mar,171.8581492
Abr24,181.7263343
24-May,187.0149112
24-Jun,177.6014677
24-Jul,184.2690801
Ago24,185.817017
24-Sep,186.5478531
24-Oct,188.6448855
24-Nov,189.6638573
Dic24,205.9684523
Ene25,173.888831
