,Employment in Metropolitan Lima - Three-month moving average (percentage) - Unemployment Rate (%) - By Gender - Female
1-May,10.81486474
1-Jun,10.80734552
1-Jul,10.24558346
Ago01,10.85631487
1-Sep,10.89227019
1-Oct,10.7904891
1-Nov,10.56873754
Dic01,9.906486559
Ene02,10.73400263
2-Feb,11.5005856
2-Mar,12.18968285
Abr02,12.44917931
2-May,11.53165781
2-Jun,11.4167551
2-Jul,10.28072968
Ago02,10.12649159
2-Sep,9.586865229
2-Oct,9.637727452
2-Nov,9.85288035
Dic02,10.04880542
Ene03,10.76603381
3-Feb,11.05112068
3-Mar,11.88089171
Abr03,11.64418456
3-May,11.04349275
3-Jun,10.29348472
3-Jul,9.614970906
Ago03,10.2752409
3-Sep,9.772726055
3-Oct,9.967120528
3-Nov,9.569713847
Dic03,10.33635294
Ene04,11.23197568
4-Feb,11.83483421
4-Mar,12.10878642
Abr04,12.01106388
4-May,11.40152699
4-Jun,10.98626411
4-Jul,10.14502166
Ago04,10.49569742
4-Sep,10.59117829
4-Oct,11.29520092
4-Nov,10.59961502
Dic04,10.53184898
Ene05,11.99094888
5-Feb,12.6227217
5-Mar,13.33974186
Abr05,11.88103779
5-May,11.70491529
5-Jun,10.84730697
5-Jul,10.29460243
Ago05,10.84246499
5-Sep,10.96732716
5-Oct,10.47158501
5-Nov,10.02924456
Dic05,9.5078666
Ene06,10.67818341
6-Feb,10.51414573
6-Mar,10.56683217
Abr06,10.59228298
6-May,10.80674536
6-Jun,10.85487727
6-Jul,9.746079388
Ago06,9.528655608
6-Sep,9.378261137
6-Oct,9.494431557
6-Nov,9.257834191
Dic06,9.427020157
Ene07,10.46269374
7-Feb,11.44053645
7-Mar,11.09033978
Abr07,10.97692398
7-May,9.873079156
7-Jun,9.856454662
7-Jul,9.222660358
Ago07,9.659824663
7-Sep,9.750102113
7-Oct,9.714732042
7-Nov,9.378912747
Dic07,8.695987796
Ene08,9.836656396
8-Feb,11.29211008
8-Mar,11.93317409
Abr08,11.31323008
8-May,10.12807328
8-Jun,10.06216032
8-Jul,10.29330004
Ago08,10.65145333
8-Sep,11.24266731
8-Oct,10.515825
8-Nov,9.722561049
Dic08,9.605888517
Ene09,10.48293709
9-Feb,11.20513955
9-Mar,11.11228431
Abr09,11.00498333
9-May,11.08377315
9-Jun,10.98660171
9-Jul,10.58094348
Ago09,10.07383182
9-Sep,9.510559006
9-Oct,9.128957605
9-Nov,9.065774156
Dic09,9.857966531
Ene10,10.62937063
10-Feb,11.53792944
10-Mar,11.09930716
Abr10,10.56609022
10-May,9.110862053
10-Jun,9.087901701
10-Jul,8.621582192
Ago10,9.218343854
10-Sep,9.259516854
10-Oct,9.631440565
10-Nov,9.658060014
Dic10,9.029662206
Ene11,9.859888289
11-Feb,11.59266765
11-Mar,11.83697795
Abr11,11.15588355
11-May,8.950358573
11-Jun,9.232788115
11-Jul,8.866651152
Ago11,9.223052988
11-Sep,9.635954644
11-Oct,10.05071462
11-Nov,9.828902585
Dic11,9.622257408
Ene12,9.962983026
12-Feb,10.67420774
12-Mar,10.81508241
Abr12,10.1638294
12-May,8.78818457
12-Jun,7.820477119
12-Jul,7.715554742
Ago12,8.213296399
12-Sep,8.255665205
12-Oct,7.808029534
12-Nov,7.34625182
Dic12,7.177888802
Ene13,7.684171802
13-Feb,8.31373634
13-Mar,8.045820265
Abr13,6.930203274
13-May,7.211973232
13-Jun,7.51494836
13-Jul,7.527027027
Ago13,6.227717857
13-Sep,6.38517919
13-Oct,6.721745768
13-Nov,7.07173971
Dic13,6.835980709
Ene14,7.459893048
14-Feb,8.221291602
14-Mar,8.287096631
Abr14,7.215026483
14-May,6.773142702
14-Jun,6.387884268
14-Jul,6.608766454
Ago14,6.741321389
14-Sep,6.926952141
14-Oct,6.619207641
14-Nov,6.159388454
Dic14,6.216346364
Ene15,7.521556489
15-Feb,8.261958097
15-Mar,8.598212339
Abr15,8.401755072
15-May,8.638019576
15-Jun,8.355936652
15-Jul,8.007211327
Ago15,7.862159789
15-Sep,7.853311054
15-Oct,6.763494472
15-Nov,6.461841711
Dic15,6.41251558
Ene16,7.813722932
16-Feb,8.025898405
16-Mar,8.5683391
Abr16,7.956191937
16-May,8.290690174
16-Jun,7.915965662
16-Jul,7.683615819
Ago16,7.27154047
16-Sep,6.880313931
16-Oct,6.847017333
16-Nov,6.303236797
Dic16,6.82885906
Ene17,7.984293194
17-Feb,8.561963816
17-Mar,8.55050247
Abr17,7.625429408
17-May,7.362750128
17-Jun,7.814032843
17-Jul,8.180512127
Ago17,7.578131442
17-Sep,7.517281106
17-Oct,6.740589437
17-Nov,7.166423053
Dic17,7.042707528
Ene18,7.936507937
18-Feb,9.199651119
18-Mar,9.163363238
Abr18,8.950349332
18-May,8.019789631
18-Jun,7.814742886
18-Jul,7.686195793
Ago18,7.820672478
18-Sep,7.454778757
18-Oct,7.248434238
18-Nov,6.523344547
Dic18,6.788819371
Ene19,7.250594311
19-Feb,8.802260826
19-Mar,9.807987393
Abr19,9.345252876
19-May,8.279569892
19-Jun,7.495543303
19-Jul,6.609053498
Ago19,6.797956493
19-Sep,6.855286425
19-Oct,7.875210101
19-Nov,7.660421831
Dic19,7.334855586
Ene20,7.964566458
20-Feb,9.012961919
20-Mar,9.202402453
Abr20,9.566080388
20-May,12.38776442
20-Jun,16.53064768
20-Jul,16.51655543
Ago20,16.33907285
20-Sep,17.2
20-Oct,17.56941729
20-Nov,17.2
Dic20,15.74280348
Ene21,15.29325068
21-Feb,16.80630631
21-Mar,17.94076816
Abr21,17.85104911
21-May,14.49128675
21-Jun,12.75508012
21-Jul,11.92581781
Ago21,11.65768485
21-Sep,12.00084513
21-Oct,11.27887789
21-Nov,10.86146871
Dic21,9.225452328
Ene22,10.78580534
22-Feb,11.48809037
22-Mar,12.4855029
Abr22,10.59063136
22-May,9.101960784
22-Jun,8.317168758
22-Jul,8.392693701
Ago22,8.861012345
22-Sep,9.524767615
22-Oct,8.762384278
22-Nov,9.787234043
Dic22,8.733831731
Ene23,9.565755572
23-Feb,8.498649925
23-Mar,8.702165187
Abr23,8.239548262
23-May,7.649702435
23-Jun,7.140351834
23-Jul,6.9
Ago23,7.3208762
23-Sep,7.845221495
23-Oct,7.445261063
23-Nov,8.186784405
Dic23,7.760623548
Ene24,8.590773362
24-Feb,8.207126833
24-Mar,8.714476021
Abr24,8.771673663
24-May,8.176928987
24-Jun,7.297979798
24-Jul,6.784295141
Ago24,6.754298021
24-Sep,7.054938457
24-Oct,6.420575793
24-Nov,6.684208603
Dic24,6.148867314
Ene25,6.877558616
25-Feb,7.360113175
