,Employment in Metropolitan Lima - Three-month moving average (percentage) - Unemployment Rate (%) - By Gender - Male
1-May,7.991304443
1-Jun,8.450556394
1-Jul,8.368414492
Ago01,8.425484532
1-Sep,8.500492667
1-Oct,8.880973165
1-Nov,8.583258172
Dic01,8.050574484
Ene02,8.234306471
2-Feb,8.783990988
2-Mar,9.399675991
Abr02,9.27274202
2-May,9.125713202
2-Jun,8.629294199
2-Jul,7.852998671
Ago02,7.539003168
2-Sep,7.624164554
2-Oct,7.543034878
2-Nov,7.32102986
Dic02,7.519209605
Ene03,8.036745771
3-Feb,8.191561304
3-Mar,8.51403847
Abr03,8.409738352
3-May,8.774728031
3-Jun,8.444986017
3-Jul,8.268619493
Ago03,8.449317189
3-Sep,8.3224381
3-Oct,8.683030639
3-Nov,8.343912824
Dic03,8.639974885
Ene04,9.179398974
4-Feb,9.405738042
4-Mar,9.462503337
Abr04,9.260917131
4-May,8.855219235
4-Jun,8.208978235
4-Jul,7.356995742
Ago04,7.295855741
4-Sep,7.549353508
4-Oct,7.658305334
4-Nov,7.487814947
Dic04,7.286327595
Ene05,8.396532299
5-Feb,9.259803889
5-Mar,9.687754532
Abr05,8.869951779
5-May,8.826366011
5-Jun,8.714820646
5-Jul,8.482456385
Ago05,7.903759392
5-Sep,7.952829659
5-Oct,7.970311576
5-Nov,7.475660895
Dic05,6.853977882
Ene06,7.423055965
6-Feb,7.736666255
6-Mar,7.777912751
Abr06,7.182681995
6-May,7.261395123
6-Jun,7.387206081
6-Jul,7.511806511
Ago06,7.538119267
6-Sep,7.748970631
6-Oct,6.977320805
6-Nov,6.828785971
Dic06,5.793817779
Ene07,7.739202037
7-Feb,7.889202179
7-Mar,8.667403953
Abr07,7.433446499
7-May,7.462477866
7-Jun,7.027776861
7-Jul,6.876400483
Ago07,6.49045015
7-Sep,6.864535693
7-Oct,6.488268011
7-Nov,6.762537449
Dic07,6.444738717
Ene08,6.687930989
8-Feb,7.08081101
8-Mar,7.14088579
Abr08,7.09727854
8-May,6.430474309
8-Jun,6.13646944
8-Jul,6.329238849
Ago08,6.531208316
8-Sep,6.327050269
8-Oct,5.825737236
8-Nov,6.002456701
Dic08,6.31676426
Ene09,7.461106425
9-Feb,7.752985706
9-Mar,7.819894686
Abr09,6.894341448
9-May,6.232419894
9-Jun,6.413447024
9-Jul,6.216914933
Ago09,6.840270658
9-Sep,6.441137784
9-Oct,6.393195784
9-Nov,5.685389637
Dic09,6.263893299
Ene10,6.915349272
10-Feb,7.971734148
10-Mar,7.589319868
Abr10,7.702122724
10-May,6.583476764
10-Jun,6.338111598
10-Jul,5.702891326
Ago10,5.846838259
10-Sep,6.261590057
10-Oct,6.35664363
10-Nov,5.855011327
Dic10,5.601119446
Ene11,5.904688105
11-Feb,7.073096292
11-Mar,7.376494473
Abr11,6.848487138
11-May,6.037750297
11-Jun,5.702758273
11-Jul,5.387739315
Ago11,5.181888545
11-Sep,5.358995044
11-Oct,5.04017531
11-Nov,4.708199761
Dic11,4.748173779
Ene12,5.871270378
12-Feb,6.307991905
12-Mar,6.838911575
Abr12,6.30196272
12-May,5.922178692
12-Jun,5.014568318
12-Jul,4.955092099
Ago12,5.386078357
12-Sep,5.230640943
12-Oct,4.915350961
12-Nov,4.722800378
Dic12,4.373188815
Ene13,4.84919495
13-Feb,4.856437865
13-Mar,5.028163725
Abr13,4.514943563
13-May,4.385337
13-Jun,4.336686636
13-Jul,4.792070353
Ago13,5.00657277
13-Sep,5.572187711
13-Oct,4.973430132
13-Nov,4.664821188
Dic13,4.709441291
Ene14,5.446492249
14-Feb,5.934980303
14-Mar,5.850364964
Abr14,5.505395287
14-May,5.003161849
14-Jun,5.086954903
14-Jul,5.018014337
Ago14,5.196634419
14-Sep,4.508519004
14-Oct,4.907815183
14-Nov,4.799970256
Dic14,4.996465642
Ene15,5.370824965
15-Feb,5.73529958
15-Mar,5.689585104
Abr15,5.444019742
15-May,5.572411752
15-Jun,5.519854389
15-Jul,5.122265122
Ago15,4.700491482
15-Sep,5.256584506
15-Oct,5.039739223
15-Nov,5.168661589
Dic15,5.087366075
Ene16,5.580261082
16-Feb,5.980078264
16-Mar,6.114048472
Abr16,6.171132851
16-May,6.1232505
16-Jun,6.197516687
16-Jul,6.619784005
Ago16,6.43016318
16-Sep,6.196796999
16-Oct,5.654665369
16-Nov,5.441980996
Dic16,5.749617995
Ene17,6.54027768
17-Feb,7.061503417
17-Mar,7.058284587
Abr17,6.143887946
17-May,5.968768897
17-Jun,6.187645935
17-Jul,6.122593431
Ago17,5.906501044
17-Sep,5.482338655
17-Oct,5.738408701
17-Nov,6.044880283
Dic17,5.949926698
Ene18,6.75996457
18-Feb,7.031607074
18-Mar,7.126420505
Abr18,5.929106199
18-May,5.443490701
18-Jun,4.879695774
18-Jul,4.883144476
Ago18,4.604077594
18-Sep,5.092789347
18-Oct,5.733564136
18-Nov,6.014826266
Dic18,5.554774787
Ene19,5.806861051
19-Feb,6.511660579
19-Mar,6.760553487
Abr19,5.618333509
19-May,5.354145087
19-Jun,5.293636977
19-Jul,5.476949529
Ago19,4.985765125
19-Sep,4.788470479
19-Oct,5.154748445
19-Nov,5.165362104
Dic19,5.020390944
Ene20,4.919573846
20-Feb,5.398306549
20-Mar,6.566294659
Abr20,8.50174849
20-May,13.72670041
20-Jun,16.07845799
20-Jul,16.26074134
Ago20,14.957104
20-Sep,15.99637966
20-Oct,15.52962992
20-Nov,13.8571798
Dic20,12.26548097
Ene21,11.12820146
21-Feb,12.60931611
21-Mar,13.14755799
Abr21,12.89332884
21-May,9.986859396
21-Jun,8.284663638
21-Jul,7.300900645
Ago21,7.792807186
21-Sep,8.261722232
21-Oct,8.137160056
21-Nov,7.549307744
Dic21,6.637600279
Ene22,6.789225869
22-Feb,6.728721577
22-Mar,6.79058663
Abr22,6.251693308
22-May,5.583704905
22-Jun,5.457770501
22-Jul,5.490182664
Ago22,5.999449907
22-Sep,6.095467033
22-Oct,5.817820289
22-Nov,5.758805278
Dic22,5.723208527
Ene23,6.633586604
23-Feb,6.286767161
23-Mar,6.405279333
Abr23,6.049833562
23-May,6.031077206
23-Jun,6.037573188
23-Jul,5.7
Ago23,6.044493368
23-Sep,5.769024745
23-Oct,5.771681535
23-Nov,5.109513459
Dic23,5.169381864
Ene24,5.942305783
24-Feb,6.502594813
24-Mar,6.828137078
Abr24,6.73630082
24-May,6.363489238
24-Jun,6.040813674
24-Jul,5.226763627
Ago24,5.473320758
24-Sep,4.97867193
24-Oct,5.180464412
24-Nov,4.790816811
Dic24,4.990506329
Ene25,5.535691483
25-Feb,5.388191835
